experience_years,avg_daily_focus_hours,manager_rating,technical_skill_score,certifications_count,communication_score,stress_level,project_complexity,team_size
23,4.48,3,45,4,69,4,3,8
20,6.85,4,57,8,69,4,5,7
16,9.2,3,70,0,73,1,3,12
8,8.18,3,95,4,67,1,2,6
7,9.03,1,61,6,56,6,3,14
9,4.57,5,50,6,59,7,4,7
5,3.9,5,47,4,83,4,2,2
1,3.83,5,83,5,66,3,4,7
6,6.64,1,54,6,55,1,2,14
5,4.94,5,84,9,59,6,5,10
20,5.13,2,76,2,73,2,2,11
14,6.75,1,43,1,57,2,1,5
18,4.49,3,77,7,67,9,3,3
13,7.63,2,61,8,42,3,1,8
18,7.05,2,49,7,86,5,2,5
5,5.79,4,95,3,92,10,2,11
1,5.33,5,93,4,62,2,3,11
17,7.79,1,52,7,72,9,3,13
12,5.2,5,80,3,57,9,4,3
5,5.19,4,84,0,91,8,5,9
2,9.96,4,73,5,56,3,4,12
17,4.92,1,75,9,67,5,5,8
1,8.74,2,68,1,44,3,5,9
7,8.43,2,57,8,56,3,2,9
1,4.57,5,51,9,47,8,2,3
5,3.64,3,70,5,69,2,3,2
4,3.79,5,81,9,98,6,4,6
3,8.83,1,60,9,96,10,3,14
5,5.38,2,56,7,94,6,3,8
18,9.74,3,56,7,71,4,3,7
11,5.36,5,43,9,64,3,3,7
17,6.3,2,74,7,63,3,3,3
0,4.0,3,73,2,82,1,1,4
13,3.41,2,82,4,68,10,3,11
20,3.93,2,75,7,74,8,3,10
1,8.74,4,48,2,77,5,4,13
12,8.96,4,69,8,99,4,5,12
16,7.34,1,42,2,96,8,4,9
18,6.25,3,76,6,86,1,2,9
14,7.57,3,86,2,98,8,5,8
1,5.2,3,59,3,46,9,4,10
3,4.28,1,99,6,43,2,2,10
2,7.76,4,67,3,57,1,2,14
16,9.97,4,98,7,56,2,5,14
6,3.65,2,80,3,51,1,3,12
13,6.39,4,40,6,85,1,1,12
18,8.61,4,48,7,88,9,3,7
24,8.47,5,90,6,92,2,1,7
15,3.43,4,89,1,52,8,5,5
0,3.61,3,48,8,86,10,4,11
23,6.96,1,80,1,69,10,5,5
21,8.32,2,96,8,55,4,1,14
23,3.5,1,65,9,64,5,4,13
4,6.0,5,84,2,96,5,5,5
3,5.55,1,61,2,89,10,5,9
3,9.83,4,74,3,86,5,3,2
10,3.33,1,42,3,90,1,2,2
23,3.3,4,87,8,50,3,3,9
0,3.97,5,94,5,72,7,5,13
17,8.47,2,64,5,40,2,3,13
18,9.48,3,98,7,61,5,5,8
15,4.73,5,89,8,77,6,2,9
22,3.61,1,97,9,49,8,1,5
13,6.88,1,73,2,83,8,5,14
5,5.59,4,53,1,52,7,2,13
2,7.7,2,56,4,92,6,1,4
0,7.08,3,45,7,75,1,4,4
4,6.19,1,53,6,73,4,3,13
3,4.93,5,57,8,44,10,3,13
7,5.9,5,75,4,73,10,2,13
1,4.36,3,51,0,70,2,2,3
24,5.43,3,49,1,98,3,1,10
7,8.66,2,50,8,94,3,4,12
13,9.32,2,73,9,75,10,5,6
4,7.71,1,63,7,56,10,2,6
18,7.61,1,63,2,40,6,5,7
10,7.57,3,48,8,82,10,3,12
24,5.31,5,58,1,78,9,1,14
14,5.55,3,96,4,80,4,5,8
19,3.99,4,63,9,96,7,2,10
3,8.12,3,98,4,73,8,1,6
4,9.84,4,89,0,90,9,5,14
8,7.3,5,50,0,70,1,4,10
24,5.24,4,61,7,52,9,5,3
14,8.89,5,42,5,58,4,1,14
14,5.27,3,73,3,99,7,5,7
7,8.53,2,51,0,75,7,1,3
8,4.32,1,41,2,80,2,4,14
22,3.89,1,87,2,53,6,5,4
6,4.3,2,87,4,62,7,1,10
9,3.83,5,43,6,59,4,1,2
19,3.93,2,90,7,64,9,3,2
23,8.44,5,61,7,98,2,2,13
12,3.1,5,85,5,45,1,2,10
13,5.42,5,48,1,48,5,3,4
17,5.91,5,44,5,53,1,2,5
20,9.67,5,89,7,58,1,5,3
10,5.76,4,56,5,82,8,1,13
17,6.11,1,60,2,64,2,3,7
1,8.38,3,80,2,68,8,3,5
1,7.32,2,47,6,82,3,3,7
16,9.12,5,98,9,80,9,4,13
7,8.2,5,63,0,83,9,4,11
5,5.15,1,53,3,79,8,1,4
12,9.54,3,84,9,56,1,2,8
20,4.54,4,74,9,54,7,1,6
3,4.08,3,78,4,86,10,1,13
8,7.43,3,93,9,42,9,4,6
24,9.15,2,90,2,80,4,3,8
9,4.27,1,99,7,94,1,3,5
17,4.39,5,85,0,88,1,1,11
6,7.06,2,62,3,94,7,5,7
6,7.0,3,88,7,75,4,3,2
15,4.45,1,74,6,95,10,1,14
19,3.89,1,47,3,91,5,4,6
21,8.85,3,80,6,72,10,1,6
9,8.6,5,82,5,74,10,3,4
4,9.77,3,96,5,55,3,5,7
20,7.2,3,87,8,59,7,3,5
0,6.38,1,84,5,58,5,3,10
24,4.74,5,60,0,40,1,3,12
11,3.82,3,60,0,89,1,3,10
18,4.8,1,60,0,42,5,3,5
0,3.88,3,86,6,50,4,1,9
12,9.53,2,88,5,48,2,2,14
14,5.31,4,59,5,76,10,4,9
14,7.9,2,62,2,71,10,5,11
2,5.7,5,47,0,87,10,2,7
17,3.05,4,92,3,44,3,4,3
3,7.54,3,74,6,88,4,3,10
16,7.42,3,93,1,96,6,4,3
14,6.44,1,50,5,82,6,3,4
22,3.18,3,83,5,49,5,5,4
