,productivity_score
29,94.46416866496028
535,100.0
695,99.70347333332212
557,93.0802461536806
836,66.139046789135
596,72.24715782757657
165,65.90947297392101
918,74.10130626874013
495,74.66512599445927
824,73.42398312901891
65,92.94105399892078
141,69.74209692408651
925,71.40932810310441
827,84.08015199108542
655,94.64851381738936
331,65.8139269165866
664,75.65938663936046
249,77.77763383155822
907,68.70147724334595
708,56.02345035875567
305,76.03241700407314
734,85.07306636396657
975,61.47557491205978
49,71.3041173464203
896,51.89601495491144
2,70.44686146000899
544,78.04065789351677
350,59.78768897108707
904,52.867123436077286
536,100.0
344,91.57187852324029
994,88.58939067834784
481,63.82371901872731
575,64.88426352879796
33,82.39988546547171
31,67.9790294580955
231,100.0
963,77.9378910149951
192,100.0
333,92.32037970549752
3,35.7853827691176
204,68.55333725712687
514,70.39071370895694
799,100.0
306,64.30502965865243
109,100.0
430,100.0
77,100.0
84,78.6309215993568
286,44.04632238127869
82,85.08016847282677
991,100.0
789,80.66122370328401
894,75.39713173225137
398,46.62977267386096
323,79.17048310116905
519,59.63603166767018
916,99.24370147459878
922,56.409543592349685
5,84.26591343564233
731,100.0
465,100.0
97,88.66789000578696
266,69.03050600542163
357,50.177954008275634
868,61.81290411241181
798,62.9151066823878
380,67.00842888433296
631,56.16114196259399
381,66.06471412298916
490,51.54592205703332
118,100.0
900,87.2858883498103
250,77.81724696333386
523,56.43728243496308
9,76.51606251792424
196,68.40214967393509
603,100.0
81,81.75851735118862
783,97.83061992576276
587,74.71387410218841
797,67.69426872657927
239,88.46572528236506
290,90.5531094407052
211,90.39975972840551
717,85.93704794435254
359,59.59140420022158
449,60.741278546108646
227,77.90448581280228
950,69.07428189813434
946,67.55976301955175
796,87.77394947012179
501,100.0
464,94.09512760315462
362,74.52184418393676
468,94.66087809512575
935,100.0
428,86.07809814398762
7,79.61276704642837
155,51.36835372883544
541,61.74926765505229
440,100.0
482,70.54416549450389
422,44.728999502191314
778,100.0
949,100.0
334,62.85978266810826
576,80.84599942533957
934,100.0
567,83.8830744382977
594,100.0
530,63.68115165424511
581,83.8818063738145
707,80.10409361867231
448,76.65746007935549
453,100.0
228,88.75505139385159
352,86.17772956575283
728,100.0
212,44.7719916290531
79,99.98522275032548
148,74.31253296323065
302,67.27868023885
628,60.04020083327019
777,90.37400890161535
506,74.58136445657689
342,60.90092152548952
485,54.92335562218439
711,88.24021905094901
133,84.18885477479259
703,92.49757545302494
311,76.8147960349024
722,95.0580590543144
629,84.44426304661282
0,100.0
316,58.85961872685793
706,100.0
547,73.25032278072108
872,100.0
532,100.0
477,81.73701163260334
404,100.0
172,84.31198155580843
125,67.91595875738962
394,87.81784671657675
420,100.0
552,53.83520750573022
903,67.27045726870209
90,43.457071214932654
939,59.41720328863143
181,86.24635558553922
274,100.0
895,56.94157771824092
69,70.62188482553604
291,57.355156994016205
131,90.92810909923637
300,85.18610081483249
424,65.55736963079393
326,61.2454092457138
144,100.0
423,46.989781622681306
580,95.97967369403426
135,89.47560888604355
450,84.10260099491714
164,85.20911396037299
28,87.35981239389646
773,55.85094854157367
193,100.0
388,72.17033168047627
852,57.990645455499205
169,64.62810516460259
705,66.16011648799766
140,55.40681242616873
173,82.52420303913044
6,67.4620231170973
745,99.25833932515326
478,58.34418932081379
73,92.4483579777282
910,100.0
813,91.35136850194873
238,95.98996996402148
145,53.06761506833052
792,100.0
234,100.0
220,65.71744241248713
923,67.66451430105438
500,58.793310709604775
132,82.95578851658261
990,69.41831174371916
774,51.11830629384638
185,57.93674637023545
41,80.6309518837144
696,91.99311599403283
108,100.0
588,91.04915140134835
56,71.47767711786742
405,100.0
442,100.0
757,77.0619043809623
997,79.40636491118572
24,100.0
467,73.01478386239327
539,48.67779235188493
531,67.95042756170015
618,89.00645143172208
694,100.0
926,40.35694626295442
338,100.0
51,72.45547350003106
507,78.73601938502908
516,68.18818509605433
920,79.16531043697155
781,66.36180910583533
264,27.440408755679023
817,100.0
710,97.88152822864116
682,52.22829348500722
832,92.28297232612567
518,83.90156217994179
447,88.08764926775949
18,61.74702390600434
715,87.9239003313076
483,100.0
568,100.0
433,100.0
367,62.545637732554745
83,85.75600803683352
61,72.66855822021758
638,100.0
272,99.908063132725
285,61.00831943028037
360,93.64905535089846
354,95.77708851899747
456,43.205830651202746
278,89.2136435768897
12,84.8487450273922
182,45.65972339709223
368,100.0
881,80.71904177889253
615,82.9973264384719
223,100.0
572,100.0
970,86.86758824266214
653,100.0
545,73.75053900506416
582,78.5204916787812
633,66.98668349672496
176,100.0
665,100.0
673,70.70410200850229
585,83.45955518230718
873,64.02182378651301
393,47.36890738878926
163,100.0
248,63.44356765216144
634,73.28260584530503
885,54.33769625648168
669,100.0
375,60.37141857663168
412,66.2706175632885
74,100.0
113,73.27487614301987
598,100.0
961,72.33096666742706
390,83.54775588709616
104,88.56834579875957
114,74.39057974947517
417,85.00242314348931
525,85.54163244774149
457,57.29967775214234
409,75.4578914487269
92,79.38807170543012
930,70.36350780848139
89,100.0
336,100.0
988,88.01768519011992
921,62.0307107979707
933,100.0
605,91.76514245939818
593,61.05474352582369
611,100.0
94,95.19471029048024
11,100.0
396,73.5554897584104
533,28.435515241367003
43,82.0531895268442
42,100.0
329,54.31317967479119
167,98.51157713337872
497,46.79119931677669
876,81.22305628952167
597,47.71139556292111
756,83.73137931375926
100,66.48409544627022
426,51.00639008022165
178,77.59600906244512
444,87.33216954005394
416,100.0
870,78.89603199122693
882,100.0
680,76.42036648258109
177,74.6803596479545
395,64.13337687335289
